epoch=1 train_loss=0.469410 val_acc=0.797260
epoch=2 train_loss=0.267965 val_acc=0.846575
epoch=3 train_loss=0.139104 val_acc=0.832877
epoch=4 train_loss=0.068695 val_acc=0.890411
epoch=5 train_loss=0.033575 val_acc=0.901370
epoch=6 train_loss=0.094296 val_acc=0.904110
epoch=7 train_loss=0.075812 val_acc=0.928767
epoch=8 train_loss=0.053577 val_acc=0.926027
epoch=9 train_loss=0.048613 val_acc=0.928767
epoch=10 train_loss=0.027858 val_acc=0.939726
epoch=11 train_loss=0.014562 val_acc=0.950685
epoch=12 train_loss=0.021491 val_acc=0.923288
epoch=13 train_loss=0.007691 val_acc=0.942466
epoch=14 train_loss=0.004510 val_acc=0.936986
epoch=15 train_loss=-0.007945 val_acc=0.898630
epoch=16 train_loss=-0.005300 val_acc=0.945205
epoch=17 train_loss=-0.006511 val_acc=0.942466
epoch=18 train_loss=-0.014632 val_acc=0.928767
epoch=19 train_loss=-0.018725 val_acc=0.936986
epoch=20 train_loss=-0.023361 val_acc=0.934247
