epoch=1 train_loss=0.516177 val_acc=0.712551
epoch=2 train_loss=0.321816 val_acc=0.765182
epoch=3 train_loss=0.202960 val_acc=0.838057
epoch=4 train_loss=0.124331 val_acc=0.890688
epoch=5 train_loss=0.050985 val_acc=0.894737
epoch=6 train_loss=0.117102 val_acc=0.919028
epoch=7 train_loss=0.083083 val_acc=0.931174
epoch=8 train_loss=0.062730 val_acc=0.935223
epoch=9 train_loss=0.052918 val_acc=0.939271
epoch=10 train_loss=0.033506 val_acc=0.935223
epoch=11 train_loss=0.028259 val_acc=0.939271
epoch=12 train_loss=0.018375 val_acc=0.935223
epoch=13 train_loss=0.007326 val_acc=0.939271
epoch=14 train_loss=0.004412 val_acc=0.923077
epoch=15 train_loss=-0.005675 val_acc=0.943320
epoch=16 train_loss=-0.009273 val_acc=0.939271
epoch=17 train_loss=-0.013621 val_acc=0.943320
epoch=18 train_loss=-0.017525 val_acc=0.943320
epoch=19 train_loss=-0.023949 val_acc=0.947368
epoch=20 train_loss=-0.023126 val_acc=0.955466
